LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Dozza;1/8/2019;"29";"22";"33";"16";"47";"21";"8";"13";"0";"1013";"0";"0";""
Dozza;2/8/2019;"24";"19";"32";"15";"56";"21";"11";"44";"0";"1010";"0";"0";"pioggia temporale "
Dozza;3/8/2019;"24";"16";"31";"15";"59";"21";"8";"15";"0";"1011";"0";"0";""
Dozza;4/8/2019;"26";"19";"31";"16";"56";"20";"13";"22";"0";"1013";"0";"0";""
Dozza;5/8/2019;"26";"20";"33";"18";"61";"20";"9";"22";"0";"1014";"0";"0";""
Dozza;6/8/2019;"27";"21";"33";"18";"57";"20";"10";"18";"0";"1013";"0";"0";""
Dozza;7/8/2019;"27";"21";"34";"18";"60";"18";"11";"24";"0";"1011";"0";"0";""
Dozza;8/8/2019;"26";"21";"31";"20";"69";"20";"7";"13";"0";"1011";"0";"0";""
Dozza;9/8/2019;"28";"22";"34";"21";"65";"20";"9";"15";"0";"1013";"0";"0";""
Dozza;10/8/2019;"29";"23";"36";"19";"56";"19";"9";"17";"0";"1013";"0";"0";""
Dozza;11/8/2019;"29";"22";"35";"19";"56";"20";"11";"22";"0";"1014";"0";"0";""
Dozza;12/8/2019;"27";"21";"34";"20";"67";"19";"8";"18";"0";"1011";"0";"0";"pioggia "
Dozza;13/8/2019;"26";"20";"32";"19";"69";"20";"10";"17";"0";"1010";"0";"0";""
Dozza;14/8/2019;"24";"19";"28";"17";"67";"21";"9";"17";"0";"1013";"0";"0";"pioggia temporale "
Dozza;15/8/2019;"23";"16";"30";"15";"63";"20";"10";"21";"0";"1015";"0";"0";""
Dozza;16/8/2019;"23";"17";"29";"15";"64";"20";"9";"17";"0";"1016";"0";"0";"pioggia temporale "
Dozza;17/8/2019;"24";"18";"31";"15";"59";"19";"8";"18";"0";"1016";"0";"0";""
Dozza;18/8/2019;"26";"20";"33";"17";"59";"19";"10";"18";"0";"1014";"0";"0";""
Dozza;19/8/2019;"27";"19";"34";"15";"52";"19";"9";"24";"0";"1015";"0";"0";""
Dozza;20/8/2019;"27";"20";"35";"16";"52";"20";"9";"22";"0";"1016";"0";"0";""
Dozza;21/8/2019;"26";"21";"32";"19";"67";"20";"9";"37";"0";"1017";"0";"0";"pioggia temporale "
Dozza;22/8/2019;"24";"21";"28";"20";"76";"20";"5";"9";"0";"1020";"0";"0";"pioggia temporale "
Dozza;23/8/2019;"23";"21";"28";"20";"83";"19";"7";"18";"0";"1020";"0";"0";"pioggia temporale "
Dozza;24/8/2019;"25";"21";"31";"19";"72";"17";"9";"22";"0";"1018";"0";"0";"pioggia temporale "
Dozza;25/8/2019;"25";"20";"30";"19";"74";"17";"6";"9";"0";"1017";"0";"0";"pioggia "
Dozza;26/8/2019;"26";"20";"31";"18";"66";"20";"8";"13";"0";"1017";"0";"0";""
Dozza;27/8/2019;"26";"21";"32";"18";"63";"19";"9";"15";"0";"1017";"0";"0";""
Dozza;28/8/2019;"25";"21";"31";"19";"73";"18";"9";"30";"0";"1017";"0";"0";"pioggia temporale "
Dozza;29/8/2019;"26";"19";"32";"18";"67";"20";"8";"13";"0";"1017";"0";"0";""
Dozza;30/8/2019;"27";"21";"32";"18";"63";"20";"9";"15";"0";"1018";"0";"0";""
Dozza;31/8/2019;"26";"21";"32";"19";"67";"20";"8";"15";"0";"1016";"0";"0";""
Dozza;1/9/2019;"26";"20";"32";"18";"63";"20";"9";"17";"0";"1012";"0";"0";""
Dozza;2/9/2019;"25";"21";"29";"18";"65";"20";"11";"26";"0";"1012";"0";"0";""
